Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.6848616065990276,0.5635768032413394,0.6783640765129252,0.5749750637260335
2,0.6739251829677909,0.583391830149875,0.6766887683394953,0.5780782444863127
3,0.6572718493012202,0.6099432273001564,0.6870896959981174,0.5647788983708302
4,0.6260265002953339,0.6460757872439994,0.7315810407307131,0.5338579186523329
5,0.5736362628574161,0.6897821455400795,0.8068167816662619,0.522442646569877
6,0.4607077179883201,0.7674043423110553,1.0617433490482628,0.502493627396653
7,0.4227029586444228,0.7886356079358628,1.1738428824336817,0.4946248476116591

Test File,Test Accuracy
test.tsv,0.5434697550669066
simple_test.tsv,0.5648525533445217
complex_test.tsv,0.5331087360594795
small_test.tsv,0.539039039039039
